seed,FP_type,split_type,type,rmse,r2,mae
0,ECFP4,random,tr,0.5330919142783775,0.8267778025675546,0.38510627
0,ECFP4,random,va,0.976522887380184,0.5008349253784297,0.7258569
0,ECFP4,random,te,1.2278073062529589,0.39870297589889736,0.9569676
0,ECFP4,random,tr,0.5330919142783775,0.8267778025675546,0.38510627
0,ECFP4,random,va,0.976522887380184,0.5008349253784297,0.7258569
0,ECFP4,random,te,1.2278073062529589,0.39870297589889736,0.9569676
1,ECFP4,random,tr,4.262375037187788,-9.791089321273764,4.1437593
1,ECFP4,random,va,4.898986882943048,-7.917152602706491,4.685177
1,ECFP4,random,te,4.226359871962394,-14.5687527068405,4.053775
2,ECFP4,random,tr,3.168410490308226,-4.611509821149823,3.0299485
2,ECFP4,random,va,3.2662973396266377,-4.6164588073043324,2.9322774
2,ECFP4,random,te,3.2595982768607654,-6.769987002533015,2.939348
3,ECFP4,random,tr,3.3126573345318757,-4.934621117088478,3.1508443
3,ECFP4,random,va,3.9090485580601912,-12.205479719091,3.6846118
3,ECFP4,random,te,3.580341169201396,-8.02241984909172,3.327981
4,ECFP4,random,tr,3.1404948800684007,-4.693494969276985,3.027308
4,ECFP4,random,va,3.4098502914365265,-6.440758067084093,3.0834465
4,ECFP4,random,te,3.0784298508622356,-3.6865849134152127,2.7578127
5,ECFP4,random,tr,2.518777329365245,-2.521546095042189,2.3560221
5,ECFP4,random,va,2.883451726904607,-5.964591464740966,2.6245017
5,ECFP4,random,te,2.976400375957181,-3.7635237537358197,2.5780754
6,ECFP4,random,tr,2.3563549595128803,-2.171753724635513,2.2078652
6,ECFP4,random,va,2.5515364599446744,-2.8450602276107593,2.213477
6,ECFP4,random,te,2.6523077039558633,-2.772549784521153,2.2404876
7,ECFP4,random,tr,1.394999534989693,-0.08561901844245945,1.1783445
7,ECFP4,random,va,1.659360232529959,-0.45335633389923236,1.3535529
7,ECFP4,random,te,1.8831945008050945,-1.6731280314693273,1.4969506
8,ECFP4,random,tr,1.8384172939634174,-0.9852750755071735,1.5718898
8,ECFP4,random,va,2.6053618676540466,-2.2081912276305755,2.0797079
8,ECFP4,random,te,2.5529387201828384,-2.563812524524358,2.3019989
9,ECFP4,random,tr,4.791868697620416,-12.672024907234004,4.6740103
9,ECFP4,random,va,4.511686197799234,-10.093779832118674,4.256029
9,ECFP4,random,te,5.049057621416088,-10.84692859792691,4.8236666
